name,rank,year,genre,duration,rating,url,runtime_min,decade
The Sting,116,1973,Drama,2h 9m,8.2,https://www.imdb.com/title/tt0070735/,129.0,1970
Indiana Jones and the Last Crusade,117,1989,Action,2h 7m,8.2,https://www.imdb.com/title/tt0097576/,127.0,1980
Indiana Jones and the Last Crusade,117,1989,Adventure,2h 7m,8.2,https://www.imdb.com/title/tt0097576/,127.0,1980
A Clockwork Orange,118,1971,Crime,2h 16m,8.2,https://www.imdb.com/title/tt0066921/,136.0,1970
A Clockwork Orange,118,1971,Sci-Fi,2h 16m,8.2,https://www.imdb.com/title/tt0066921/,136.0,1970
Metropolis,119,1927,Drama,2h 33m,8.2,https://www.imdb.com/title/tt0017136/,153.0,1920
Metropolis,119,1927,Sci-Fi,2h 33m,8.2,https://www.imdb.com/title/tt0017136/,153.0,1920
Snatch,120,2000,Comedy,1h 42m,8.2,https://www.imdb.com/title/tt0208092/,102.0,2000
Snatch,120,2000,Crime,1h 42m,8.2,https://www.imdb.com/title/tt0208092/,102.0,2000
1917,121,2019,Action,1h 59m,8.2,https://www.imdb.com/title/tt8579674/,119.0,2010
1917,121,2019,Drama,1h 59m,8.2,https://www.imdb.com/title/tt8579674/,119.0,2010
1917,121,2019,War,1h 59m,8.2,https://www.imdb.com/title/tt8579674/,119.0,2010
L.A. Confidential,122,1997,Crime,2h 18m,8.2,https://www.imdb.com/title/tt0119488/,138.0,1990
L.A. Confidential,122,1997,Drama,2h 18m,8.2,https://www.imdb.com/title/tt0119488/,138.0,1990
L.A. Confidential,122,1997,Mystery,2h 18m,8.2,https://www.imdb.com/title/tt0119488/,138.0,1990
Oppenheimer,123,2023,Biography,3h,8.3,https://www.imdb.com/title/tt15398776/,180.0,2020
Oppenheimer,123,2023,Drama,3h,8.3,https://www.imdb.com/title/tt15398776/,180.0,2020
Oppenheimer,123,2023,History,3h,8.3,https://www.imdb.com/title/tt15398776/,180.0,2020
Der Untergang,124,2004,Biography,2h 36m,8.2,https://www.imdb.com/title/tt0363163/,156.0,2000
Der Untergang,124,2004,Drama,2h 36m,8.2,https://www.imdb.com/title/tt0363163/,156.0,2000
Der Untergang,124,2004,History,2h 36m,8.2,https://www.imdb.com/title/tt0363163/,156.0,2000
Ladri di biciclette,125,1948,Drama,1h 29m,8.2,https://www.imdb.com/title/tt0040522/,89.0,1940
Dangal,126,2016,Action,2h 41m,8.3,https://www.imdb.com/title/tt5074352/,161.0,2010
Dangal,126,2016,Biography,2h 41m,8.3,https://www.imdb.com/title/tt5074352/,161.0,2010
Dangal,126,2016,Drama,2h 41m,8.3,https://www.imdb.com/title/tt5074352/,161.0,2010
The Wolf of Wall Street,127,2013,Biography,3h,8.2,https://www.imdb.com/title/tt0993846/,180.0,2010
The Wolf of Wall Street,127,2013,Comedy,3h,8.2,https://www.imdb.com/title/tt0993846/,180.0,2010
The Wolf of Wall Street,127,2013,Crime,3h,8.2,https://www.imdb.com/title/tt0993846/,180.0,2010
The Truman Show,128,1998,Comedy,1h 43m,8.2,https://www.imdb.com/title/tt0120382/,103.0,1990
The Truman Show,128,1998,Drama,1h 43m,8.2,https://www.imdb.com/title/tt0120382/,103.0,1990
Green Book,129,2018,Biography,2h 10m,8.2,https://www.imdb.com/title/tt6966692/,130.0,2010
Green Book,129,2018,Comedy,2h 10m,8.2,https://www.imdb.com/title/tt6966692/,130.0,2010
Green Book,129,2018,Drama,2h 10m,8.2,https://www.imdb.com/title/tt6966692/,130.0,2010
Hamilton,130,2020,Biography,2h 40m,8.3,https://www.imdb.com/title/tt8503618/,160.0,2020
Hamilton,130,2020,Drama,2h 40m,8.3,https://www.imdb.com/title/tt8503618/,160.0,2020
Hamilton,130,2020,History,2h 40m,8.3,https://www.imdb.com/title/tt8503618/,160.0,2020
Batman Begins,131,2005,Action,2h 20m,8.2,https://www.imdb.com/title/tt0372784/,140.0,2000
Batman Begins,131,2005,Crime,2h 20m,8.2,https://www.imdb.com/title/tt0372784/,140.0,2000
Batman Begins,131,2005,Drama,2h 20m,8.2,https://www.imdb.com/title/tt0372784/,140.0,2000
